# AMAT exchange matrix
# mode pw_only
# implementation full_grid_only
# response_basis TODO
# shape 6 6
# q_ext 0.000000000000 0.000000000000 0.000000000000
# vasp_storage 1
# i j real imag
     1      2  8.7195372450166175e-11 -1.6258469786729462e-10
     1      3 -4.4345966947515435e-08  3.3331091359167786e-09
     1      4 -2.4253092643873380e-09  3.6846097700715674e-10
     1      5  3.5162867067931383e-09 -2.6859240396040485e-10
     1      6 -3.6939316191096899e-08  3.2129363891630902e-09
     2      1  8.7195367245995747e-11  1.6258469786792989e-10
     2      3  1.0568840204183217e-09  1.1481926173728674e-10
     2      4 -3.3071087084181089e-09  5.6352677645782334e-10
     2      5 -3.7696671408590874e-09  3.1860351000240900e-10
     2      6  1.9372761532444015e-09  5.2171302000747488e-10
     3      1 -4.4345966947542540e-08 -3.3331091428556725e-09
     3      2  1.0568840204250979e-09 -1.1481925826783979e-10
     3      4  3.4467990753361444e-01  6.4678282883196053e-03
     3      5 -3.4458251051946698e-01  1.0504936054015274e-02
     3      6  4.5794873066816510e+00 -3.3916197461662460e-02
     4      1 -2.4253092643602330e-09 -3.6846098004292283e-10
     4      2 -3.3071087084316614e-09 -5.6352678773352594e-10
     4      3  3.4467990753361449e-01 -6.4678282883196053e-03
     4      5  4.5413393053954160e-01 -2.6017631106713462e-03
     4      6  3.4458250182551031e-01 -1.0504937254059869e-02
     5      1  3.5162867068202434e-09  2.6859240222568137e-10
     5      2 -3.7696671407574434e-09 -3.1860350956872813e-10
     5      3 -3.4458251051946698e-01 -1.0504936054015276e-02
     5      4  4.5413393053954160e-01  2.6017631106713462e-03
     5      6 -3.4467991529003561e-01 -6.4678275173668948e-03
     6      1 -3.6939316191259529e-08 -3.2129364169186658e-09
     6      2  1.9372761534612419e-09 -5.2171302000747488e-10
     6      3  4.5794873066816528e+00  3.3916197461662460e-02
     6      4  3.4458250182551031e-01  1.0504937254059869e-02
     6      5 -3.4467991529003555e-01  6.4678275173668948e-03
